PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,TEAM
Napheesa Collier,U,202154,U,208219,U,214284,UFA,,,,,Minnesota Lynx

Kayla McBride,V,201984,UFA,,,,,,,,,Minnesota Lynx

Aerial Powers,V,201984,UFA,,,,,,,,,Minnesota Lynx

Natalie Achonwa,V,155100,UFA,,,,,,,,,Minnesota Lynx

Tiffany Mitchell,V,135000,V,139050,UFA,,,,,,,Minnesota Lynx

Jessica Shepard,U,120000,U,123600,UFA,,,,,,,Minnesota Lynx

Bridget Carleton,V,91000,UFA,,,,,,,,,Minnesota Lynx

Nikolina Milić,U,90000,Reserved,,,,,,,,,Minnesota Lynx

Lindsay Allen,TC,74305,UFA,,,,,,,,,Minnesota Lynx

Rachel Banham,TC,74305,UFA,,,,,,,,,Minnesota Lynx

Damiris Dantas,TC,74305,UFA,,,,,,,,,Minnesota Lynx

Maya Dodson,TC,62285,Reserved,,,,,,,,,Minnesota Lynx

Stephanie Watts,TC,62285,Reserved,,,,,,,,,Minnesota Lynx

Kiana Williams,TC,62285,Reserved,,,,,,,,,Minnesota Lynx

Sylvia Fowles,UFA,,,,,,,,,,"2015, 2016, 2017",Minnesota Lynx

Anna Cruz,Reserved,,,,,,,,,,,Minnesota Lynx

Cecilia Zandalasini,SuspCE,,,,,,,,,,,Minnesota Lynx

Cap Room,,223278,,992331,,1292816,,1552300,,1598800,,Minnesota Lynx

2023 Round 1 Pick 12 (12) (LVA),U,68295,U,69663,U,76630,OPT,87080,RFA,,,Minnesota Lynx

2023 Round 1 Pick 2 (2) (MIN),U,74305,U,75792,U,83371,OPT,94740,RFA,,,Minnesota Lynx

2023 Round 2 Pick 12 (24) (LVA),U,65290,U,66597,U,73258,OPT,83248,RFA,,,Minnesota Lynx

2023 Round 2 Pick 4 (16) (MIN),U,65290,U,66597,U,73258,OPT,83248,RFA,,,Minnesota Lynx

2023 Round 3 Pick 4 (28) (MIN),U,62285,U,63532,U,66710,OPT,76240,RFA,,,Minnesota Lynx

2024 Round 1 Pick ? (?) (MIN),,,U,0,U,0,U,0,OPT,0,,Minnesota Lynx

2024 Round 2 Pick ? (?) (MIN),,,U,67249,U,68595,U,75456,OPT,85745,,Minnesota Lynx

2024 Round 3 Pick ? (?) (MIN),,,U,64154,U,65438,U,68711,OPT,78527,,Minnesota Lynx

2025 Round 1 Pick ? (?) (MIN),,,,,U,0,U,0,U,0,,Minnesota Lynx

2025 Round 2 Pick ? (?) (MIN),,,,,U,69267,U,70653,U,77720,,Minnesota Lynx

2025 Round 3 Pick ? (?) (MIN),,,,,U,66079,U,67401,U,70773,,Minnesota Lynx

Jonquel Jones,V,211150,UFA,,,,,,,,"2022, 2023",New York Liberty

Betnijah Laney,V,201984,UFA,,,,,,,,,New York Liberty

Courtney Vandersloot,V,189000,V,194670,UFA,,,,,,2019,New York Liberty

Breanna Stewart,V,175000,UFA,,,,,,,,,New York Liberty

Stefanie Dolson,V,160000,UFA,,,,,,,,,New York Liberty

Kayla Thornton,V,109716,UFA,,,,,,,,,New York Liberty

Sabrina Ionescu,R,86701,RFA,,,,,,,,,New York Liberty

Jocelyn Willoughby,R,79690,RFA,,,,,,,,,New York Liberty

Epiphanny Prince,TC,74305,UFA,,,,,,,,,New York Liberty

