,PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,TEAM
2,Ezi Magbegor ,V,"$159,650 ",V,"$155,000 ",UFA,0,0,0,0,0,0,Seattle Storm
3,Kia Nurse ,V,"$142,500 ",V,"$142,500 ",UFA,0,0,0,0,0,0,Seattle Storm
4,Sami Whitcomb ,V,"$142,500 ",V,"$140,000 ",UFA,0,0,0,0,0,0,Seattle Storm
5,Theresa Plaisance ,U,"$90,000 ",UFA,0,0,0,0,0,0,0,0,Seattle Storm
6,Yvonne Turner,TC,"$74,305 ",UFA,0,0,0,0,0,0,0,0,Seattle Storm
7,Jasmine Walker,U,"$70,000 ",Reserved,0,0,0,0,0,0,0,0,Seattle Storm
8,Jade Melbourne,D,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,0,0,Seattle Storm
9,Ivana Dojkić,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Seattle Storm
10,Kaila Charles ,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Seattle Storm
11,Arella Guirantes ,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Seattle Storm
12,Sue Bird ,UFA,0,0,0,0,0,0,0,0,0,"2008, 2009",Seattle Storm
13,Tina Charles,UFA,0,0,0,0,0,0,0,0,0,"2018, 2019, 2020",Seattle Storm
14,Briann January ,UFA,0,0,0,0,0,0,0,0,0,0,Seattle Storm
15,Jantel Lavender ,UFA,0,0,0,0,0,0,0,0,0,0,Seattle Storm
16,Gabby Williams,RFA,0,0,0,0,0,0,0,0,0,0,Seattle Storm
0,Elena Delle Donne ,V,"$234,350 ",UFA,0,0,0,0,0,0,0,0.0,Washington Mystics
1,Brittney Sykes ,V,"$190,000 ",V,"$190,000 ",V,"$195,000 ",UFA,0,0,0,0.0,Washington Mystics
2,Natasha Cloud,V,"$190,000 ",UFA,0,0,0,0,0,0,0,0.0,Washington Mystics
3,Myisha Hines-Allen ,V,"$175,100 ",V,"$180,200 ",UFA,0,0,0,0,0,0.0,Washington Mystics
4,Ariel Atkins ,V,"$175,000 ",UFA,0,0,0,0,0,0,0,0.0,Washington Mystics
5,Shatori Walker-Kimbrough,V,"$95,000 ",U,"$97,850 ",UFA,0,0,0,0,0,0.0,Washington Mystics
6,Tianna Hawkins ,TC,"$74,305 ",UFA,0,0,0,0,0,0,0,0.0,Washington Mystics
7,Amanda Zahui B. ,TC,"$74,305 ",UFA,0,0,0,0,0,0,0,0.0,Washington Mystics
8,Shakira Austin,U,"$73,584 ",U,"$80,943 ",OPT,"$91,981 ",RFA,0,0,0,0.0,Washington Mystics
9,Li Meng,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0.0,Washington Mystics
10,Alisia Jenkins,TC,"$62,285 ",RFA,0,0,0,0,0,0,0,0.0,Washington Mystics
11,Jazmine Jones ,TC,"$62,285 ",RFA,0,0,0,0,0,0,0,0.0,Washington Mystics
12,Stephanie Jones ,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0.0,Washington Mystics
13,Evina Westbrook,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0.0,Washington Mystics
14,Rui Machida,UFA,0,0,0,0,0,0,0,0,0,0.0,Washington Mystics
15,Jazmine Jones ,Reserved,0,0,0,0,0,0,0,0,0,0.0,Washington Mystics
16,Klara Lundquist,SuspCE,0,0,0,0,0,0,0,0,0,0.0,Washington Mystics
